编号,企业名称,股票简称,上市公司行业,招聘岗位,工作城市,最低月薪,最高月薪,职位描述,学历要求,要求经验,招聘类别,招聘发布日期,招聘结束日期,预测行业
11,中国光大银行股份有限公司,光大银行,货币金融服务,远程服务专员,武汉,6000.0,9000.0,【招聘岗位】 远程服务专员 （一）岗位职责： 1.协助客户在线受理银行业务咨询及办理，解决各项业务问题； 2.与客户建立良好的沟通，熟悉及理解客户需求； 3.不断加强业务技能，完成主管分配的其它工作。 （二）基本要求： 1.具有良好的政治素质和道德品行，坚持党的领导，拥护国家大政方针；深刻领悟“两个确立”的决定性意义，自觉增强“四个意识”，坚定“四个自信”，做到“两个维护”； 2.具有良好的职业素养和团结协作精神，认同我行企业文化和价值观，认可我行规章制度；3.爱岗敬业，诚实守信，德才兼备，廉洁自律，责任心强，身体健康； 4.符合我行岗位胜任能力要求，具备相应岗位的任职资格和能力要求，具有较强的风险合规意识； 5.具备与岗位要求相匹配的学历、专业、年龄、从业年限、年度考核、政治面貌等条件，招聘管理序列人员的还应符合我行管理序列职务任用管理相关要求； 6.符合我行员工行为管理相关要求，符合我行任职回避和招录回避相关制度要求，无经商办企业或在企业兼职的情形； 7.无违法犯罪记录，无其他不符合我行录用标准的情形，在招聘阶段未处于问责影响期内，无正在接受组织审查调查的情形； 8.对退役军人等，在同等条件下优先录取。 （三）任职条件： 1.大学本科及以上学历，年龄35周岁及以下；2.金融、财务类专业及有银行柜员从业经验者优先考虑； 3.普通话标准，语言表达条理清晰； 4.通过银行从业资格、基金从业资格考试者优先考虑； 5.具备一定学习能力，熟练操作办公软件，具备良好的服务意识，善于倾听、分析并理解客户需求。 （四）薪酬福利： 1.薪酬介绍：工资+绩效+福利（法定福利+其他福利），新员工入职半年后，中心平均绩效之上税前薪酬可达6000-9000元； 2.福利介绍：六险一金＋带薪年假＋节日福利＋生日福利＋年度体检＋绿色就医＋优质行服等。 （五）职业发展： 1.技能序列：信用卡初级技能、信用卡成熟技能、全技能初级技能、全技能、全技能VIP、智能服务、远程视频柜员、远程客户经理、远程投资顾问； 2.专业序列：服务质量、风险内控、中控后台、数据分析、渠道运营、系统建设、培训管理、综合行政、人力资源等； 3.行政序列：组长、经理助理、副经理、经理、副处长、处长； 4.人才储备：业务新锐、明星新锐、业务骨干、组长助理、干部后备； 5.其他发展通道：总行部门及外部机构借调。 （六）注意事项： 1.应聘者应对填报信息和提供材料的真实性负责，如与事实不符，我行有权取消其应聘和录用资格。 2.在各招聘环节中，我行会及时通知进入下一环节的应聘者；对未能进入下一环节的应聘者，我行不再另行通知。 3.我行未成立或委托成立任何考试辅导培训班，招聘过程不涉及任何收费项目。 4.应聘者务必保证提交的联系方式正确无误，并保证通讯畅通。 （七）工作地点： 工作地址：武汉市洪山区光谷软件园C1栋光大银行。 【关于我们】 中国光大银行成立于1992年8月，是经国务院批复并经人民银行批准设立的全国性股份制商业银行，总部设在北京。中国光大银行于2010年8月在上交所挂牌上市、2013年12月在香港联交所挂牌上市。 中国光大银行积极践行金融工作的政治性、人民性，以服务实体经济和国家战略、满足经济社会发展和人民群众日益增长的金融需求为主责，依托光大集团综合金融、产融协同、跨境经营优势，以客户为中心，通过综合化、特色化、轻型化、数字化发展，加快产品、渠道和服务模式的创新，从经营自身资产负债表向帮助客户改善财务报表转变，在财富管理、金融科技和综合金融等领域培育较强的市场竞争优势，形成各项业务均衡发展、风险管理日趋完善、创新和服务能力持续增强的经营格局，沿着高质量发展的轨道稳步前行。 中国光大银行零售与财富管理部远程银行中心成立于1999年，目前北京、武汉、天津三地人员规模己达1600余人。远程银行中心经历了25年的发展沉淀、技术创新，形成了涵盖语音、文字、视频等多渠道、多元化、多媒体协同的服务体系。中心秉持 “综合服务提供者、业务运营支持者、客户关系提升者”的愿景，积极打造远程智能服务与运营系统，创新实现数字人 “小璇” 等智能服务、助老服务、拥军服务。在探索服务新模式的同时，积极践行光大“金融国家队”的社会责任。,本科,经验不限,银行,2026-01-14,2026-03-14,物流/贸易/采购
12,国民养老保险股份有限公司,农业银行,货币金融服务,市场部负责人（上海）(J10311),上海,20000.0,40000.0,工作职责: 1.负责制定并落实本级机构业务发展规划和经营计划，确定销售策略； 2.负责完成本级机构保费计划和利润指标，实施销售活动，推动经营目标达成； 3.负责本级机构销售团队建设，进行销售团队产能管理，实施销售人员业务培训； 4.负责渠道维护和拓展，推动代理渠道建设，组织实施联动销售方案； 5.组织做好客户拓展和关系维护，夯实客户基础，收集并发掘产品创新需求。 任职资格: 1.本科及以上学历，保险、金融、企业管理等专业； 2.具有8年以上保险营销工作经验，其中担任管理类职务3年以上，熟悉养老保险产品和销售特点，熟悉销售团队组建及管理工作； 3.对养老保险公司的运营模式、业务推动模式有一定见解，熟悉区域寿险市场； 4.具备较好的业务、管理经验和培训辅导能力，有较强的创新意识和市场敏感度，具备较好的沟通协调能力、市场策划与开拓能力。,本科,8年及以上,保险,2026-01-29,2026-03-29,人力/财务/行政
13,中信金融租赁有限公司,中信银行,货币金融服务,信息技术部系统开发岗,北京,15000.0,25000.0,岗位内容： 1.负责租赁业务系统、资金系统项目管理和开发工作； 2.编写技术方案及设计文档，管理外包团队开发实施与交付质量； 3.执行代码质量检查与评审，把控开发规范与风险； 4.参与系统性能优化、故障排查及问题解决； 5.推动后端项目持续重构与技术优化。 岗位要求： 1.熟悉Java/JVM 原理，熟练掌握 Spring Boot/Cloud 等微服务框架，有分布式系统开发经验；熟悉常用的设计模式，数据结构和算法； 2.熟练使用 MySQL，具备优秀的 SQL 编写、索引优化及事务处理能力；有能力独立进行数据分析； 3.熟悉 Redis、MQ(Kafka/RabbitMQ）、nginx等中间件，掌握其应用场景及调优方法； 4.熟练使用 Maven、Git、常用开发工具； 5.能够熟练使用常用的Linux命令进行系统管理和故障排查，具备良好的创新意识和解决复杂问题的潜力； 6.能够在面对新的技术挑战时，提出有效的解决方案； 7.逻辑清晰，具备良好的编码规范意识和文档编写能力； 8.积极主动、自驱力强，为人踏实能深入了解业务并与业务中各角色建立沟通，有意愿独立负责一块业务，迅速推进项目与问题的解决； 9.有银行信贷、租赁业务经验的优先，具备容器化（Docker/K8s）经验者优先。 薪酬面议。,本科,3年及以上,金融/投资/证券,2026-01-04,2026-03-04,互联网/软硬件技术
14,九江银行股份有限公司,兴业银行,货币金融服务,资产负债管理岗,九江,10000.0,20000.0,岗位职责: 1.开展宏观经济形势、行业监管政策等专业研究； 2.编制全行年度本外币表内外经营计划； 3.对资产负债各项指标执行情况进行计量、监测、分析，优化组合管理资产负债总量、结构，拟出管理建议； 4.推动及优化资产负债信息系统建设。 任职要求: 1.初始学历为全日制本科及以上，会计、金融、财经等相关专业优先； 2.年龄35周岁及以下（1991年1月1日后出生）； 3.具备金融行业资产负债管理、流动性管理、资本管理等工作经验者优先； 4.拥有较强的分析判断力、沟通协调能力、文字及语言表达能力； 5.拥有中高级职称或ACCA、CPA、CFA等证书者优先。,本科,经验不限,银行,2026-01-04,2026-03-04,医疗/能源/环保/农业
15,上海农村商业银行股份有限公司,沪农商行,货币金融服务,JIZBQIE-虹口支行公司金融客户经理,上海,20000.0,25000.0,工作职责 1、负责对公业务营销工作，挖掘公司客户需求，定制对公金融服务方案； 2、负责公司客户的授信申请受理、企业实地走访，资料收集及相关撰写工作； 3、开展公司客户的风险管理工作，根据实际情况，及时调整公司客户授信额度、产品组合和业务结构。 任职要求 1、大学本科及以上学历，金融、经济、管理等专业； 2、2年及以上银行相关工作经验，熟悉银行对公金融产品及业务流程； 3、熟悉经济、金融、产品政策以及银行有关业务规章制度，具备一定风控意识； 4、具备良好的团队合作和协调能力，有良好的的职业道德素养和抗压能力。,本科,2年及以上,银行,2026-01-14,2026-03-14,互联网/软硬件技术
16,中邮理财有限责任公司,邮储银行,货币金融服务,投资经理（指数、量化方向）,北京,,,专业要求： 数学、统计、计算机、金融、经济等相关专业，具有金融理工复合背景优先 学历要求： 国家承认的硕士研究生（含）及以上 岗位基本要求： 1.原则上至少有3年及以上工作经验； 2.身心健康、品行端正、具有良好的职业道德，以往工作经历中无任何不良记录； 3.原则上人员年龄为35周岁（含）以下。 任职要求： 1.具有2年及以上指数、量化类策略开发、管理经验，精通量化投资策略以及开发技术，具有指数、量化类净值型资管产品相关管理经验者优先，具备固定收益类资产投资经验者优先； 2.热爱投资工作，熟悉银行理财业务相关政策法规及业务运作，具有较强的宏观经济、大类资产走势的分析能力、信息处理能力和逻辑思维能力，具有良好的文字表达能力，精通数量分析编程语言或数据库管理； 3.工作细致，品行端正，具备较强的责任心和团队精神、良好的沟通能力，抗压能力强； 4.具有CFA、FRM、CPA等资格证书者优先。 岗位职责： 1.根据业务发展需要，负责指数、量化类理财产品运作和资产组合管理，对投资业绩负责； 2.负责量化模型研发管理，搭建、优化基于指数、量化策略的组合模型； 3.负责指数、量化等创新策略理财产品研发、撰写相关策略报告； 4.配合开展市场营销和推广、渠道和客户服务、培训等工作； 5.完成领导交办的其他工作。 搜索,硕士,3年及以上,银行,2026-01-29,2026-03-29,销售/市场/客服
17,中邮理财有限责任公司,邮储银行,货币金融服务,渠道经理,北京,,,专业要求: 经济、金融、市场营销、管理等相关专业 学历要求: 国家承认的硕士研究生（含）以上学历 岗位基本要求: 1.原则上至少有3年及以上工作经验； 2.身心健康、品行端正、具有良好的职业道德，以往工作经历中无任何不良记录； 3.原则上人员年龄为35周岁（含）以下。 任职要求: 1.具有大型国有及股份制银行总分行个金/私行部理财或基金等相关岗位经验，理财子公司市场营销或产品研发等相关岗位经验，基金公司、证券等金融行业总对总营销相关岗位经验的优先； 2.具有金融机构市场营销或渠道拓展及管理等相关工作经验； 3.坚持客户为本，立足专业服务，市场嗅觉敏锐，善于挖掘潜在机会，具备极强的目标感、灵活应变和落地执行能力； 4.追求卓越，勤勉尽责，具备良好的团队协作精神、沟通影响能力。 岗位职责: 1.负责代销渠道拓展，包括但不限于代销机构的营销、路演、尽职调查、协议法审及签约等工作； 2.负责代销产品准入、存续期管理等相关工作； 3.负责根据市场需求，协调投资及中后台部门研发推出符合代销机构需求的新产品方案； 4.负责第三方代销机构服务和维护，协同渠道开展产品营销，客户服务，业务调研、营销培训等工作； 5.负责对第三方代销机构提供信息披露内容并提供相应咨询与解释工作； 6.领导交办的其他工作。,硕士,5年及以上,银行,2026-01-29,2026-03-29,人力/财务/行政
18,兴业消费金融股份公司,兴业银行,货币金融服务,信贷客户经理,阜阳,10000.0,20000.0,（来 自 ） 兴业银行一级子公司兴业消费金融亳州业务部招聘（国企单位）: 1.岗位客户经理职责： 1）积极寻找潜在的信贷客户，建立和拓展客户资源。 2）向客户宣传和介绍银行的信贷产品和服务，满足客户的信贷需求。 3）对可能出现的信贷风险进行预警和提示，采取相应的风险防范措施。 2.薪资待遇：入职缴纳五险一金，无责底薪最低3100元—12000元（半年调整一次），额外餐补1000元/月，高温补贴，逢年过节福利，提成上不封顶。,大专,1年及以上,金融/投资/证券,2026-02-27,2026-04-27,文化传媒/教育/生活服务
19,平安银行股份有限公司,平安银行,货币金融服务,BK911E-标准供应链融资业务产品经理,深圳,16667.0,25000.0,1、负责供应链融资业务统筹管理，包括制度、系统、业务及定价管理等； 2、负责供应链融资业务营销推动，完成业务量、收入、客群等各项指标； 3、负责供应链融资业务培训宣导，提升分行中台及一线专业能力； 4、负责供应链融资业务模式创新及线上流程优化，打造差异化竞争优势。 任职资格：1、熟悉供应链融资业务逻辑和信用证、保函、保理等基础供应链产品，具备较好的营销推动能力、较强的市场敏锐度和行业研究能力； 2、工作主观能动性和责任心强，有较强的金融创新意识和学习能力，善于沟通和团队合作； 3、对供应链金融业务感兴趣，愿意进行学习和研究，具有良好的文字撰写、数据分析和报告输出能力。,本科,5年及以上,银行,2026-01-09,2026-03-09,人力/财务/行政
20,平安银行股份有限公司,平安银行,货币金融服务,BK9109-业务风险管理岗,深圳,16667.0,25000.0,1、负责票据业务产品研发和制度建设； 2、负责票据业务系统管理，包括系统及功能升级，需求澄清、排期、测试等工作； 3、负责票据业务数据治理、风险管理以及票交所对接，保障业务合规开展。 任职资格：1、具备公司产品及业务经验，有票据业务经验、信贷经验或银企对接经验者优先； 2、具备系统敏捷开发的推动管理经验，能够快速协调开发人员，推动功能快速落地和迭代； 3、工作主观能动性和责任心强，有较强创新意识和学习能力，善于沟通和团队合作。,本科,5年及以上,银行,2026-01-09,2026-03-09,人力/财务/行政
21,中邮理财有限责任公司,邮储银行,货币金融服务,资深投资经理（权益策略）,北京,,,专业要求： 经济、金融、理工等相关专业 学历要求： 国家承认的硕士研究生（含）以上学历 岗位基本要求： 1.原则上至少有7年及以上工作经验； 2.身心健康、品行端正、具有良好的职业道德，以往工作经历中无任何不良记录； 3.原则上人员年龄为40周岁（含）以下。 任职要求： 1.具备5年及以上公募基金/券商/保险等金融行业权益类投资相关从业经历，至少管理过10亿以上规模的产品，且有实盘业绩证明，其中有70%以上产品达到业绩比较基准，且至少有10%的产品业绩处于行业前1/3； 2.具备权益策略或周期、价值等方向研究经历，对所研究行业具有深刻的理解和认知；具备中观和行业层面完整的投资框架和绝对收益投资思维，可灵活使用个股、股票ETF等多种投资工具； 3.追求卓越，勤勉尽责，具备良好的团队协作精神、沟通影响能力。 岗位职责： 1.负责牵头含权占比20%-60%不等的固收+或混合型银行理财产品投资运作，带领团队制定境内外年度权益投资策略和重点配置方向； 2.定期向投资决策委员会汇报投资情况和投资计划，执行投资决策委员会决议； 3.根据部门的产品营销计划，参加与客户及机构的交流活动； 4.完成其他相关工作事项。,硕士,8年及以上,银行,2026-01-29,2026-03-29,销售/市场/客服
22,昆仑数智科技有限责任公司,中油资本,货币金融服务,项目经理(A165428),海口,10000.0,18000.0,职位描述： （1）掌握公司项目管理流程，负责项目启动、需求分析、方案设计、采购管理、实施部署、系统调试、验收交付、运维保障全流程管理和相关的实施工作。 （2）负责系统集成、油田、炼化、LNG业务领域的项目管理及实施工作。 （3）负责公司各事业部核心产品、工业互联网平台的推广实施工作。 （4）协助事业部开展区域内地区公司的生产运营平台建设及推广实施工作。（5）能独立带领团队完成招投标相关工作、解决方案、技术文档编制。 （6）负责团队建设及赋能，以结果为导向，以客户满意和项目成功为己任。 职位要求： （1）本科及以上学历，计算机科学、油气、炼化相关专业。 （2）具有三年以上项目管理经验，项目体量大于300万元，独立负责过软件开发、系统集成、规划咨询其中一类的项目管理和实施工作。 （3）具有统建项目管理及实施经验，优先考虑。 （4）持有PMP、信息系统项目管理师、注册建造师优先考虑。 （5）学习能力强、适应性强、能接受长期出差，具有较强的沟通表达能力、组织协调与领导能力、解决问题能力。 （6）工作地点：海南海口。,本科,8年及以上,IT服务,2026-02-11,2026-04-11,人力/财务/行政
23,青岛农村商业银行股份有限公司（简称：青岛农商银行）,青农商行,货币金融服务,微贷中心客户经理岗,青岛,6666.0,9999.0,1.岗位描述：入职后主要负责客户服务及营销工作，根据微贷中心相关要求进行管理。 2.招聘要求：详见招聘简章。,本科,经验不限,银行,2026-03-05,2026-05-05,互联网/软硬件技术
24,兴业期货有限公司,兴业银行,货币金融服务,人力资源管理岗,上海,15000.0,20833.0,岗位职责： 1.负责制定完善公司薪酬管理、绩效管理相关制度； 2.负责组织实施绩效考核工作，并合理运用考核结果； 3.负责公司薪酬发放、社保缴纳等日常管理工作； 4.领导交办的其他事项。 职位要求： 1、全日制本科及以上学历，人力资源管理相关专业优先； 2、有金融行业相关工作经历，有期货公司相关岗位工作经验优先； 3、熟悉人力资源薪酬、绩效考核流程，熟悉国家各项劳动人事法规政策和期货行业相关的合规制度； 4、具有较强的学习能力，逻辑思维能力和沟通能力； 5、中共党员优先。,本科,2年及以上,金融/投资/证券,2026-01-18,2026-03-18,人力/财务/行政
25,兴银理财有限责任公司,兴业银行,货币金融服务,线上平台市场营销岗（福州）,福州,10000.0,20000.0,岗位职责： 1、制定门户网站、小程序等线上平台的营销推广策略、活动策划方案等并组织实施； 2、协调推动渠道合作，协同公司内外部渠道资源，开展渠道线上推广； 3、开展用户调研与数据分析，收集分析用户需求，构建用户行为画像，开展平台用户分层经营。 任职要求： 1、硕士及以上学历，金融学、市场营销、传播学等相关专业。 2、具备3年以上市场营销、线上店铺营销、互联网渠道管理经验，或有金融行业从业经验者优先； 3、具备优秀的营销策划、用户分析及沟通协调能力； 4、身心健康、品行端正，具有良好的职业道德，以往经历中无任何不良记录。,硕士,3年及以上,银行,2026-02-10,2026-04-10,销售/市场/客服
26,国民养老保险股份有限公司,农业银行,货币金融服务,投资合规岗(J10431),北京,16000.0,30000.0,工作职责: 1.对债权、股权、REITs等金融产品进行合规审查，并出具相关意见； 2.对金融产品相关交易合同进行审核，协助投资经理与交易对手进行相关商务谈判； 3.对公司开展的投资业务进行合规检查、自查，保障投资业务合规开展，组织实施合规风险监测，识别、评估和报告工作。 任职资格: 1.研究生及以上学历，具有法律职业资格等证书优先； 2.具备3年以上保险公司、资产管理公司或险资投资金融产品合规审核相关工作经验； 3.熟悉与保险资产管理业务相关的法律法规及监管规定； 4.具备市场意识，拥有良好的沟通协调与解决问题能力。具备责任意识，工作积极，自驱力与主动学习能力较强。,硕士,3年及以上,保险,2026-02-13,2026-04-13,销售/市场/客服
27,中银保险有限公司,中国银行,货币金融服务,意健险核赔岗,北京,15000.0,20000.0,岗位职责： 负责意健险的各项理赔工作，主要有以下方面： 1.参与制定并监督执行理赔的标准流程、指引和制度； 2.负责权限内赔案的核赔审批和重大案件的指导处理； 3.已决案件质量抽查、未决赔案督导清理、以及诉讼案件的管理； 4.负责组织实施条线理赔人员培训； 5.参与产品开发工作； 6.负责意健险理赔数据分析，对理赔端暴露的问题和风险做出分析报告并提出预警； 7.负责持续完善理赔核心系统； 8.跟踪考核指标并监督执行到位； 9.负责意健险案件的反欺诈管理； 10.完成交办的其他工作。 资格条件： 1.全日制大学本科及以上学历； 2.1年以上相关岗位工作经验。 所属部门： 总公司理赔服务部 百度搜索,本科,1年及以上,保险,2026-01-07,2026-03-07,互联网/软硬件技术
