编号,企业名称,股票简称,上市公司行业,招聘岗位,工作城市,最低月薪,最高月薪,职位描述,学历要求,要求经验,招聘类别,招聘发布日期,招聘结束日期
4375,浙江世纪华通车业有限公司,ST 华通,互联网和相关服务,注塑技术员,绍兴,8000.0,11000.0,岗位职责： 1、根据下达的日生产计划指令，有序、及时进行各机台模具调换并按工艺文件要求开机。 2、负责及时按作业指导文件要求进行调机工作； 任职要求： 1、会注塑机操作； 2、会工艺参数调整； 3、会装卸模具、开机、机械手安装调试，懂塑料原料知识； 4、汽车零部件塑料壳体内外饰相关工作经验者优先考虑； 薪酬福利： 1.员工提供免费住宿，住宿条件：独立卫生间、空调、热水器、电视；发放餐补，20元/班次； 2.免费工作餐+免费职工宿舍+五险一金+年终奖+节日福利； 交 通：高铁绍兴东站转223至大通购物中心转229（世纪华通）至终点站 来自：,高中,5年及以上,汽车,2026-01-30,2026-03-30
4432,追觅科技（苏州）有限公司,昆仑万维,互联网和相关服务,薪酬主管/专员,滁州,10000.0,20000.0,岗位职责： 1、全面负责工厂端的薪酬福利体系设计与日常运营管理，确保制度执行的准确性与合规性。 2、依据公司政策与工厂业务特点，设计并优化适合一线员工的计时、计件、绩效等激励方案。 3、主导工厂月度薪酬核算的全面工作，包括考勤、工时、产量数据的审核、计算与发放。 4、负责与外包派遣公司的薪酬对接与结算，并监控其薪酬发放的准确性与及时性。 5、定期进行薪酬数据的内外部对标分析，为薪酬策略调整与年度预算编制提供数据支持。 6、负责解答工厂员工关于薪酬福利的各项咨询，并妥善处理相关的疑问与申诉。 7、确保工厂的薪酬管理严格遵循国家及地方的劳动法规，并配合完成相关的审计与检查工作。 任职要求： 1、人力资源管理、财务管理、统计学或相关专业本科及以上学历。 2、具备3年以上中大型制造企业薪酬核算与管理经验，熟悉一线员工多种薪酬模式。 3、精通国家及地方的劳动薪酬法规，对社保、公积金及个人所得税计算有深刻理解。 4、具备出色的数据处理与分析能力，能熟练使用Excel等工具进行复杂运算与建模。 5、工作严谨细致，原则性强，具备极高的数据敏感度与保密意识。 6、有使用SAP、Oracle等大型ERP薪酬模块或专业薪资软件经验者将优先考虑。,本科,3年及以上,家具/家电/玩具/礼品,2026-01-06,2026-03-06
3917,浙江宁水水务科技有限公司,宁水集团,仪器仪表制造业,JAVA后端开发工程师,宁波,10000.0,20000.0,岗位职责： 1.负责公司核心业务系统的后端架构设计、开发与优化，确保系统的高性能、高可用及可扩展性。 2.深入理解业务需求，参与技术方案制定，完成核心代码的编写与评审，解决开发过程中的技术难题。 3.持续优化现有系统架构，提升系统稳定性、安全性和响应效率，推动技术迭代与创新。 4.与产品、前端、测试等团队紧密协作，保障项目按时高质量交付。 5.负责关键技术难点的攻关和新技术的研究，并能将合适的技术应用于实际项目中。 6.指导初中级开发人员，组织代码审查，提升团队整体技术能力。 任职要求： 1.本科及以上学历，计算机相关专业，5年以上Java后端开发经验，具有扎实的编程基础和良好的编码习惯。 2.Java基础扎实，精通JVM原理、多线程并发、网络编程等，熟悉常用设计模式和数据结构。 3.熟练掌握Spring Boot/Spring Cloud框架，有微服务架构设计与开发经验，熟悉服务治理、配置中心、链路追踪等常见组件。 4.精通MySQL、PostgreSQL数据库，具备数据库性能调优、分库分表经验；熟悉至少一种NoSQL（如Redis、MongoDB）和消息中间件（如Kafka、RabbitMQ）。 5.熟悉分布式系统原理，对缓存、消息队列、分布式事务、高并发处理有深入理解及实战经验。 6.熟悉Linux环境及常用命令，能够独立进行系统部署、日志排查和问题定位。 7.具备良好的沟通能力和团队协作精神，有较强的责任心和技术热情，能够主动推动项目进展。 加分项： 1.有系统架构设计经验，能够独立完成中大型系统的整体架构规划与演进。 2.具有GIS（地理信息系统）开发经验，熟悉空间数据处理、地图服务（如GeoServer、ArcGIS Server）及相关标准（WMS、WFS等）。 3.有智慧水务、智慧城市或相关行业系统开发经验，了解水务业务场景（如管网监测、水力模型、SCADA集成等）。 4.熟悉容器化技术（Docker、Kubernetes）及DevOps流程，有CI/CD实践经验。 5.对大数据技术栈（如Hadoop、Spark、Flink）有一定了解或有实际应用经验。,本科,5年及以上,计算机软件,2026-03-04,2026-05-04
3895,广东省顺德开关厂有限公司,科陆电子,仪器仪表制造业,光储充技术支持,佛山,10000.0,15000.0,【工作内容】 - 负责泰国市场新能源项目的技术支持与现场服务，协助客户解决技术问题； - 参与新能源设备的安装、调试及运维工作，确保项目顺利推进； - 与当地团队协作，提供技术培训与指导，提升客户满意度； - 收集并反馈市场和技术信息，为产品优化和市场拓展提供支持。 【任职要求】 - 对新能源行业技术知识有相关工作经验，愿意长期发展； - 具备良好的学习能力和适应能力，能接受驻外工作安排；,本科,3年及以上,电气/电力/水利,2026-02-09,2026-04-09
3944,南京茂莱光学科技股份有限公司,茂莱光学,仪器仪表制造业,机械结构设计工程师,南京,10000.0,20000.0,岗位内容： 1、与光学工程师、电子工程师合作共同完成光学机械结构的方案设计； 2、模组结构的详细设计、误差分析、负责输出3D、2D图纸，搭建BOM表； 3、进行光机装调方案的制定，负责产品工装夹具的设计； 4、优化现有产品结构设计，提升稳定性； 5、配合NPI一起完善系统的装调标定相关流程； 6、完成相关工作文档编写； 7、完成领导布置的其他工作。 岗位要求： 1、统招本科学历，机械及机电一体化或其他机械相关专业； 2、2-3年同岗位工作经验，有光学模组结构设计经验，熟悉光学镜头等结构设计经验优先； 3、精通熟悉机械原理和设计方法，熟练使用Solidworks\Proe\CAD等设计工具； 4、有熟练的英文读、写能力; 5、有光学结构研发设计工作经验，熟悉镜头光学知识；,本科,3年及以上,仪器仪表/工业自动化,2026-02-12,2026-04-12
3899,安徽皖仪科技股份有限公司,皖仪科技,仪器仪表制造业,（2026届）售后工程师,合肥,7000.0,8000.0,【工作内容】 - 负责检漏设备的安装、调试及日常维护，确保设备正常运行； - 处理客户反馈的技术问题，提供现场或远程技术支持； - 协助完成售后服务流程，提升客户满意度； - 配合团队进行产品使用培训及技术资料整理。 【任职要求】 - 2026届本科及以上学历，机械、电子、自动化等相关专业； - 具备良好的沟通能力和客户服务意识； - 对技术有热情，学习能力强，能适应出差及灵活工作安排； - 无相关工作经验者亦可，公司提供系统培训。 详见官网：,本科,经验不限,仪器仪表/工业自动化,2026-01-22,2026-03-22
4865,七天四季酒店(广州)有限公司,锦江酒店,住宿业,企业文化经理,深圳,15000.0,19000.0,职位描述： 1、独立运营公众号、视频号，完成内容生产，包括但不限于创意策划、人物故事、业务报道等； 2、独立运营社群平台，包括但不限于积分管理、用户管理、论坛管理等，保证平台稳定、高效运营； 3、识别和洞察公司与业务面临的文化、管理挑战，能够通过创意内容项目推动问题解决，并负责企业文化的场景化解析与渗透，统筹策划各类文化主题活动、员工沟通项目等，促进文化落地与传播； 4、拓展和运营公司内外部文化内容渠道，能通过渠道整合与创新提升内容传播效果； 5、具备体系化文化建设思维，能结合公司发展阶段与管理需求，设计并执行文化推广计划，提升组织凝聚力与员工认同感。 职位要求： 1、本科及以上学历，广告学、市场营销、新闻传播、人力资源管理等相关专业优先； 2、3年以上媒体/公关/创意策划/企业文化相关工作经验，具备出色的创意内容能力，有爆款作品或成功文化推广案例者优先； 3、具备扎实的项目管理与统筹能力，能独立负责复杂的文化传播或员工活动项目，善于协调内外部资源并推动项目落地； 4、对企业文化有深刻理解，具备将文化理念转化为具体场景、活动与内容的能力，能通过多元形式实现文化渗透与传播； 5、对跨界创新有充分的思考力及洞察力，学习能力强，视野开阔、思维活跃，能适应快速变化的业务环境； 6、具备良好的职业素养与沟通协调能力，具备较强的自主思考与策略规划能力，能承担从策划到执行的全流程责任； 7、有较好的英语沟通能力者优先。 *此岗位为外包岗位，与劳务公司签订劳动合同。,本科,5年及以上,酒店/民宿,2026-01-09,2026-03-09
4871,无锡肯德基有限公司,锦江酒店,住宿业,宜兴新泳安肯德基服务员,无锡,3000.0,4000.0,"【工作职责】 1.执行外场服务、内场产品制作; 2.维持餐厅环境卫生、整洁; 3.工作认真负责，为人正直诚信; 4.积极参与培训，不断学习提升技能。 【任职要求】 1.身体健康,能适应餐饮行业的工作节奏； 2.品行端正，有良好的沟通表达; 3.无不良记录和嗜好; 4.符合国家餐饮行业工作从业资格。 【加入我们，您可以享受到】 1.就近分配有招募需求的门店; 2.根据您的供班与餐厅需求灵活调整; 3.舒适的工作环境，免费提供工作服，休息室内设备齐全； 人性化氛围，可以学习多种技能。",学历不限,经验不限,餐饮业,2026-01-27,2026-03-27
4815,七天四季酒店(广州)有限公司,锦江酒店,住宿业,内容运营经理,深圳,15000.0,17000.0,【岗位职责】 1.负责品牌新媒体矩阵（包括但不限于小红书｜微信｜抖音）选题企划，按节奏完成选题规划、独立进行重要选题内容创作、发布及传播。 2.协同各城市门店新媒体营销经理，推动各地门店号&店员号运营，建立城市新媒体运营SOP与方法论，有力推动区域新媒体运营逐步走向成熟，提高有效转化。 3.定期跟进数据表现（如浏览、点赞、互动、线索），并基于数据做内容优化，提高品牌声量与生意的增长。 4.在重要节点结合门店核心场景、目标受众痛点，进行达人投放，对效果负责。 5.统领门店社群活动等线下品牌行动落地，拆解品牌核心旅居场景与消费者需求，拓展符合品牌调性的跨界资源，通过品牌行动、跨界产品、联合推广等模式，以总部视角赋能门店。 【岗位要求】 1.我们希望你对内容运营充满热情，愿意花时间思考和打磨内容，拥抱新技术，用真实影响力撬动更大的商业生态，帮助品牌成长。 2.擅长挖掘用户与品牌的情感连接点对产品核心场景敏感，有网感，了解不同平台的流量算法逻辑，创作内容被人读懂，被算法读懂，创造事半功倍的传播效果。 3.有深厚的文字表达力，能独立产出内容，会基础图文处理、剪辑工具更加分。 4.具备数据思维，能不断复盘优化，能通过内容数据分析指导后续策略。 5.学习能力强，乐于尝试新工具、新事物，致力成为新一代真正帮品牌拿到结果的市场营销人。,本科,5年及以上,酒店/民宿,2026-01-27,2026-03-27
4872,杭州肯德基有限公司,锦江酒店,住宿业,嵊州和悦KFC招小伙伴,绍兴,3000.0,4000.0,主要工作职责 你将从事： - 对客服务类工作：满足顾客需要，给顾客带来完美用餐体验； - 产品制作类工作：参与食品、饮料等多种产品的制作工作，学习国际连锁西餐厅的高标准制作工艺。 你将得到： - 系统正规的培训，广阔的发展空间； - “关爱成员的大家庭”企业文化 - 与年轻的伙伴快乐共事，感受充满激情的团队氛围 - 弹性安排工作时间 - 丰富多彩的团队活动 你的发展空间 服务员→楼面经理→餐厅副经理→餐厅资深副经理→餐厅经理→更高管理职位…… 餐厅运营时间一般为6-24点，分早中晚班， 早班 6-15 中班10-19 晚班16-24 职位任职资格 1. 年龄满18周岁以上，高中或同等以上学历 2. 热情开朗，正直诚信，善于与人沟通，有团队精神 3. 适应快节奏、高效的工作环境 4. 乐于从事连锁餐饮零售业 工作经验要求 无要求,学历不限,经验不限,餐饮业,2026-01-16,2026-03-16
4811,中体城（宁波）运营管理有限公司,中体产业,体育,运营助理,宁波,5000.0,6000.0,【工作内容】 1）负责场馆的客户服务，接待、录入会员、维系会员关系、场地管理、投诉应诉等系列工作，执行部门预算制度； 2）负责建立和健全场馆客户管理体系、流程和标准，以标准化组织部门人员进行训练或培训，从而形成对客户的标准化服务； 3）负责客户投诉管理，与相关部门商议具体改进措施，并及时反馈客户； 4）负责维系好新老客户的关系，与新客户有效充分的沟通，促成销售。老客户进行有效维系，促成复购； 5）负责定期不定期进行顾客满意度调查，将相关数据进行汇总、分析，提出改进方案，不断提升服务； 6）负责自营及合作俱乐部、商户日常开放的场地的安全、卫生、运营状态、风险等进行管控； 7）负责与各部门进行有关会员的录入、消课、反馈等工作的衔接； 8）完成上级领导交办的其他临时性任务，配合完成公司其他部门的相关工作。 【任职要求】 - 需具备良好的沟通能力和团队管理意识； - 有较强的责任心和抗压能力，能适应快节奏工作环境； - 对客户服务工作有热情，愿意在该领域长期发展； -三年以上服务业管理相关工作经验者优先； -要求全日制本科学历及以上，年龄25-35周岁之间,本科,3年及以上,娱乐/休闲/体育,2026-02-23,2026-04-23
4814,华益新桥(北京)科技发展有限公司,中体产业,体育,企业党建,北京,15000.0,20000.0,【岗位职责】 一、党务工作 党建基础管理 1.贯彻落实上级党组织决策部署，制定公司年度党建工作计划并组织实施。 2.负责“三会一课”、组织生活会、民主评议党员等党内组织生活的落实，做好会议记录及材料归档。 3.负责党员教育和管理工作，包括入党积极分子培养、党员档案管理、党费收缴及组织关系转接等。 党建活动与宣传 1.策划并组织主题党日、青年理论学习活动等党建活动，做好活动方案、执行及总结工作。 2.撰写党建工作总结、报告、新闻稿等材料，维护党建宣传阵地。 党风廉政建设 1.协助开展党风廉政教育、警示教育及廉洁文化建设相关工作。 2.参与党建责任制考核，督促各党支部落实整改要求。 二、工会工作 1.负责制定公司工会年度、季度工作计划与预算，并组织实施；定期进行工作总结与汇报，确保工会工作有序开展。 2.负责策划、组织并实施各类员工文体活动（如运动会、兴趣小组、节日庆典等）、技能竞赛、团队建设活动等，营造积极健康的企业文化氛围。 3.准确理解并贯彻落实上级工会组织的工作部署和要求；保持与上级工会的日常沟通与汇报，积极争取资源与支持。 4.负责工会员工关怀与服务、宣传推广、经费管理等相关工作。 【任职要求】 1.政治素质过硬：中共党员，熟悉国有企业党建和行政管理流程。 2.文字能力强：具备优秀的公文写作能力，能独立完成党建工作报告、年度总结报告、会议纪要等材料。 3.组织协调能力：擅长会议管理、活动策划，具备较强的执行力和沟通能力。 4.具有2年及以上工会、党群、行政或相关工作经验者优先，熟悉工会法律法规及工作流程者尤佳。 5.本科以上学历，985/211优先。 （来自 ）,本科,5年及以上,零售/批发,2026-02-28,2026-04-28
4812,中国航空服务有限公司,中体产业,体育,酒店业务产品经理,北京,12000.0,15000.0,负责我司酒店业务线中后台系统的规划与功能设计，推动产品落地，实现稳定、高效、可扩展的酒店技术平台的目标。 一、工作内容： 1、产品规划：理解前端业务需求，满足业务策略实施，规划酒店相关系统和模块的技术方向，评估技术复杂度、潜在风险和优先级。 2、功能设计：进行需求调研，结合客户需求和业务数据，负责设计合规、高效、合理、可扩展的系统功能，及优化方案落地，实现核心指标。 3、输出方案：描述平台、后端功能的需求、逻辑和数据流转。供内部和外部合作伙伴使用的需求描述和技术文档。 4、行业分析：了解TMC、OTA行业规则和运营模式，分析同业系统产品功能，确保产品具备市场竞争力。 二、岗位能力要求： 1、技术能力：具备强大的技术理解力，能与内部相关部门架构师、工程师深度对话。熟悉API设计、数据建模、微服务、缓存及分布式系统基本原理。 2、行业知识：深刻理解TMC、OTA整体业务流程，熟悉酒店预订、房态管理、结算等环节；熟知企业差旅政策、费用管控、员工报销流程；能深入业务场景，挖掘用户（酒店运营方、客人）痛点，将其转化为明确的产品解决方案。 3、专业能力：掌握数据结构、软件工程等知识，了解主流技术线和系统架构，熟练使用将产品概念转化为可体验、可沟通原型等工具进行原型设计，具备出色的需求分析、文档撰写、数据分析和项目管理能力。 4、软实力：优秀的跨部门沟通协调能力、逻辑思维、自驱力、责任心和团队协作精神；具备项目规划、进度控制和风险管理的能?。 三、任职要求： 1、经验：要求3年以上TMC、OTA或酒店行业相关产品经验。 2、学历：多数要求本科及以上学历，计算机、旅游管理等相关专业可能被偏好。 3、优先项： （1）有GDS系统对接经验或技术研发背景者优先。 （2）有PMS（酒店管理系统）或OTA（在线旅游）经验者优先。 （3）有大型酒店资源管理经验者优先。 4、身体健康，无不良嗜好。,本科,5年及以上,旅游服务,2026-02-26,2026-04-26
